Identifier,Type,Rate
460,Zr-95,7.03E+04
461,Zr-95,6.29E+04
492,Zr-95,
539,Zr-95,7.40E+03
290,Zr-95,4.44E+04
302,Zr-95,7.03E+04
331,Zr-95,8.14E+04
449,Zr-95,
464,Zr-95,
401,Zr-95,1.22E+05
82,Zr-95,9.25E+04
108,Zr-95,1.07E+05
110,Zr-95,5.92E+04
126,Zr-95,1.07E+05
141,Zr-95,1.26E+05
169,Zr-95,9.62E+04
183,Zr-95,1.26E+05
301,Zr-95,7.03E+04
411,Zr-95,4.44E+04
428,Zr-95,2.96E+04
434,Zr-95,
441,Zr-95,1.33E+05
446,Zr-95,
465,Zr-95,
507,Zr-95,2.96E+04
522,Zr-95,1.85E+04
523,Zr-95,2.96E+04
524,Zr-95,2.22E+04
40,Zr-95,5.55E+04
80,Zr-95,
96,Zr-95,7.77E+04
203,Zr-95,1.85E+05
261,Zr-95,2.22E+05
288,Zr-95,7.03E+04
316,Zr-95,1.04E+05
439,Zr-95,9.62E+04
457,Zr-95,5.55E+04
458,Zr-95,4.44E+04
459,Zr-95,4.44E+04
537,Zr-95,1.11E+04
81,Zr-95,9.62E+04
246,Zr-95,1.04E+05
350,Zr-95,9.99E+04
398,Zr-95,1.89E+05
95,Zr-95,1.89E+05
109,Zr-95,8.88E+04
231,Zr-95,1.55E+05
276,Zr-95,9.62E+04
366,Zr-95,1.07E+05
382,Zr-95,1.26E+05
396,Zr-95,1.55E+05
408,Zr-95,1.30E+05
479,Zr-95,
26,Zr-95,2.44E+04
125,Zr-95,4.07E+04
140,Zr-95,1.52E+05
155,Zr-95,1.30E+05
168,Zr-95,9.62E+04
181,Zr-95,4.03E+05
202,Zr-95,1.30E+05
229,Zr-95,3.22E+05
230,Zr-95,1.18E+05
308,Zr-95,1.85E+04
424,Zr-95,1.85E+05
425,Zr-95,2.07E+05
433,Zr-95,
476,Zr-95,3.33E+04
491,Zr-95,9.25E+04
521,Zr-95,6.29E+04
11,Zr-95,2.96E+04
154,Zr-95,1.15E+05
275,Zr-95,1.22E+05
287,Zr-95,1.37E+05
332,Zr-95,2.04E+05
123,Zr-95,6.66E+04
124,Zr-95,2.66E+05
153,Zr-95,1.74E+05
167,Zr-95,1.33E+05
173,Zr-95,1.85E+04
259,Zr-95,1.07E+05
260,Zr-95,1.89E+05
274,Zr-95,1.15E+05
286,Zr-95,1.18E+05
349,Zr-95,1.15E+05
383,Zr-95,5.18E+04
393,Zr-95,1.30E+05
394,Zr-95,1.11E+05
397,Zr-95,1.15E+06
403,Zr-95,9.62E+04
406,Zr-95,1.07E+05
409,Zr-95,2.44E+05
438,Zr-95,8.88E+04
489,Zr-95,4.81E+04
244,Zr-95,2.22E+05
65,Zr-95,2.07E+05
242,Zr-95,1.44E+05
245,Zr-95,9.25E+04
273,Zr-95,3.77E+05
348,Zr-95,1.44E+05
364,Zr-95,9.47E+05
437,Zr-95,1.96E+05
66,Zr-95,1.18E+05
83,Zr-95,
475,Zr-95,3.33E+04
51,Zr-95,
67,Zr-95,1.37E+05
228,Zr-95,2.81E+05
258,Zr-95,
107,Zr-95,1.30E+05
201,Zr-95,2.18E+05
216,Zr-95,1.74E+05
272,Zr-95,1.07E+05
474,Zr-95,8.88E+04
488,Zr-95,1.07E+05
10,Zr-95,3.33E+04
139,Zr-95,1.41E+05
520,Zr-95,3.33E+04
20,Zr-95,1.63E+05
49,Zr-95,1.37E+05
85,Zr-95,
94,Zr-95,1.22E+05
215,Zr-95,2.66E+05
227,Zr-95,1.89E+05
257,Zr-95,2.04E+05
391,Zr-95,2.15E+05
456,Zr-95,4.07E+05
19,Zr-95,1.81E+05
52,Zr-95,5.92E+04
54,Zr-95,4.07E+04
64,Zr-95,1.96E+05
79,Zr-95,3.59E+05
122,Zr-95,1.26E+05
137,Zr-95,1.52E+05
455,Zr-95,4.03E+05
63,Zr-95,1.89E+05
78,Zr-95,3.22E+05
472,Zr-95,1.52E+05
490,Zr-95,2.37E+05
35,Zr-95,2.74E+05
17,Zr-95,4.48E+05
18,Zr-95,2.07E+05
93,Zr-95,1.22E+05
136,Zr-95,3.89E+05
256,Zr-95,1.65E+06
399,Zr-95,1.26E+05
452,Zr-95,1.04E+05
454,Zr-95,5.37E+05
470,Zr-95,6.96E+05
471,Zr-95,1.74E+05
506,Zr-95,1.52E+05
535,Zr-95,7.40E+04
241,Zr-95,1.30E+05
436,Zr-95,1.67E+05
50,Zr-95,2.63E+05
347,Zr-95,5.11E+05
62,Zr-95,5.55E+05
3,Zr-95,
5,Zr-95,3.44E+05
106,Zr-95,3.63E+05
121,Zr-95,1.70E+05
138,Zr-95,1.85E+05
213,Zr-95,1.01E+06
380,Zr-95,1.04E+05
392,Zr-95,2.11E+05
453,Zr-95,
486,Zr-95,4.00E+05
487,Zr-95,1.96E+05
226,Zr-95,1.37E+05
48,Zr-95,5.51E+05
61,Zr-95,6.07E+05
214,Zr-95,5.96E+05
421,Zr-95,4.63E+05
505,Zr-95,
518,Zr-95,8.88E+04
21,Zr-95,3.15E+05
33,Zr-95,4.55E+05
92,Zr-95,1.18E+05
2,Zr-95,5.29E+05
4,Zr-95,5.11E+05
16,Zr-95,5.00E+05
25,Zr-95,8.14E+04
34,Zr-95,1.85E+05
46,Zr-95,6.88E+05
47,Zr-95,5.25E+05
77,Zr-95,2.26E+05
212,Zr-95,9.84E+05
271,Zr-95,3.22E+05
473,Zr-95,3.96E+05
485,Zr-95,7.84E+05
533,Zr-95,
8,Zr-95,1.18E+05
76,Zr-95,7.03E+05
502,Zr-95,6.96E+05
532,Zr-95,
1,Zr-95,8.10E+05
6,Zr-95,3.81E+05
24,Zr-95,6.66E+04
32,Zr-95,5.48E+05
37,Zr-95,2.92E+05
39,Zr-95,1.59E+05
91,Zr-95,6.44E+05
365,Zr-95,9.07E+05
468,Zr-95,1.29E+06
484,Zr-95,6.73E+05
501,Zr-95,8.03E+05
503,Zr-95,3.69E+05
504,Zr-95,3.63E+05
514,Zr-95,5.66E+05
516,Zr-95,9.62E+04
519,Zr-95,1.74E+05
528,Zr-95,9.32E+05
529,Zr-95,6.07E+05
530,Zr-95,1.84E+05
534,Zr-95,1.55E+05
7,Zr-95,
346,Zr-95,5.59E+05
9,Zr-95,
31,Zr-95,7.59E+05
38,Zr-95,1.37E+05
378,Zr-95,1.01E+06
515,Zr-95,6.44E+05
363,Zr-95,
483,Zr-95,8.66E+05
513,Zr-95,1.48E+05
361,Zr-95,
466,Zr-95,1.55E+06
527,Zr-95,9.66E+05
22,Zr-95,3.74E+05
53,Zr-95,
362,Zr-95,1.61E+06
467,Zr-95,5.70E+05
481,Zr-95,1.54E+06
482,Zr-95,1.18E+06
526,Zr-95,1.13E+06
451,Zr-95,1.34E+06
377,Zr-95,1.07E+06
497,Zr-95,1.61E+06
511,Zr-95,1.65E+06
499,Zr-95,1.87E+06
512,Zr-95,2.03E+06
23,Zr-95,3.70E+05
496,Zr-95,2.90E+06
68,Zr-95,
498,Zr-95,2.86E+06
376,Zr-95,2.46E+06
36,Zr-95,
58,Zr-95,
69,Zr-95,
71,Zr-95,
84,Zr-95,
86,Zr-95,
99,Zr-95,
101,Zr-95,
134,Zr-95,
151,Zr-95,
152,Zr-95,
166,Zr-95,
177,Zr-95,
182,Zr-95,
186,Zr-95,
189,Zr-95,
191,Zr-95,
192,Zr-95,
196,Zr-95,
197,Zr-95,
198,Zr-95,
199,Zr-95,
200,Zr-95,
204,Zr-95,
205,Zr-95,
208,Zr-95,
211,Zr-95,
223,Zr-95,
224,Zr-95,
243,Zr-95,
278,Zr-95,
325,Zr-95,
333,Zr-95,
343,Zr-95,
367,Zr-95,
371,Zr-95,
374,Zr-95,
379,Zr-95,
381,Zr-95,1.41E+05
400,Zr-95,
407,Zr-95,
410,Zr-95,
414,Zr-95,
422,Zr-95,
423,Zr-95,
429,Zr-95,
469,Zr-95,
493,Zr-95,
500,Zr-95,
517,Zr-95,
531,Zr-95,
156,Ru-106,1.44E+05
165,Ru-106,
170,Ru-106,3.18E+05
180,Ru-106,7.40E+03
353,Ru-106,1.55E+05
59,Ru-106,1.48E+04
369,Ru-106,3.52E+05
73,Ru-106,2.22E+04
89,Ru-106,3.70E+04
90,Ru-106,
135,Ru-106,1.85E+04
163,Ru-106,
193,Ru-106,8.51E+04
194,Ru-106,2.96E+04
195,Ru-106,4.44E+04
