Chornobyl_Center_ID,Biota_latin_name,Biota_common_name,Date_sampled,Site_Location_within_Chernobyl_exclusion_zone,Sex,Fresh_mass_of_biota_grams,Mass_of_biota_carcass_grams,Notes,Sr-90<,Sr-90_Bq_per_sample,error_Sr-90_Bq_per_Sample,Cs-137<,Cs-137_Bq_per_sample,error_Cs-137_Bq_per_Sample,"Pu-239,240_Bq_per_sample","error_Pu-239,240_Bq_per_Sample",Pu-238<,Pu-238_Bq_per_sample,error_Pu-238_Bq_per_Sample,Sr-90_Bq_per_kg_FW,Cs-137_Bq_per_kg_FW,"Pu-239,240_Bq_per_kg_FW",Pu-238<,Pu-238_Bq_per_kg_FW,Sr-90_Concentration_ratio,Cs-137_Concentration_ratio,"Pu-239,40_Concentration_ratio",Pu-238<,Pu-238_isotope_Concentration_ratio
G007230,Ficedula albicollis,Collared flycatcher,15/06/2005,Medium,Male,6.7,n/a,without feather and gut,n/a,2.28E+01,7.59E-01,n/a,7.80E+01,4.25E+00,2.55E-04,5.44E-05,n/a,1.30E-04,1.83E-05,3.43E+03,1.17E+04,3.84E-02,n/a,1.96E-02,1.85E-01,2.71E-01,6.45E-02,n/a,8.48E-02
G007229,Ficedula hypoleuca,Pied flycatcher,16/06/2005,Medium,Male,7.3,n/a,without feather and gut,n/a,2.94E+01,7.97E-01,n/a,3.14E+01,1.69E+00,4.84E-04,1.34E-04,n/a,1.57E-04,4.06E-05,4.01E+03,4.28E+03,6.59E-02,n/a,2.14E-02,2.16E-01,9.88E-02,1.11E-01,n/a,9.26E-02
G007235,Ficedula hypoleuca,Pied flycatcher,15/06/2005,Medium,Male,8.3,n/a,without feather and gut,n/a,1.02E+01,5.94E-01,n/a,7.77E+00,6.65E-01,1.86E-04,6.20E-05,n/a,2.51E-04,4.24E-05,1.23E+03,9.33E+02,2.23E-02,n/a,3.02E-02,6.63E-02,2.16E-02,3.76E-02,n/a,1.30E-01
G007244,Ficedula hypoleuca,Pied flycatcher,15/06/2005,Medium,Male,8.1,n/a,without feather and gut,n/a,7.75E+00,5.76E-01,n/a,1.08E+01,8.35E-01,1.67E-04,4.31E-05,<,2.23E-04,n/a,9.61E+02,1.34E+03,2.07E-02,<,2.76E-02,5.18E-02,3.11E-02,3.48E-02,<,1.19E-01
G007238,Fringilla coelebs,Chaffinch,15/06/2005,Medium,Male,15.5,n/a,without feather and gut,n/a,1.32E+02,1.58E+00,n/a,3.59E+01,2.13E+00,3.62E-04,8.54E-05,n/a,3.34E-04,5.35E-05,8.53E+03,2.32E+03,2.34E-02,n/a,2.16E-02,4.60E-01,5.35E-02,3.93E-02,n/a,9.33E-02
G007239,Fringilla coelebs,Chaffinch,15/06/2005,Medium,Male,16,n/a,without feather and gut,n/a,7.18E+01,1.27E+00,n/a,2.14E+01,1.39E+00,4.34E-04,8.86E-05,n/a,1.92E-04,2.93E-05,4.50E+03,1.34E+03,2.72E-02,n/a,1.20E-02,2.43E-01,3.10E-02,4.57E-02,n/a,5.20E-02
G007240,Fringilla coelebs,Chaffinch,15/06/2005,Medium,Male,15.5,n/a,without feather and gut,n/a,6.14E+01,7.03E-01,n/a,1.98E+01,1.30E+00,4.86E-04,1.15E-04,n/a,2.27E-04,4.46E-05,3.97E+03,1.28E+03,3.14E-02,n/a,1.47E-02,2.14E-01,2.96E-02,5.28E-02,n/a,6.36E-02
G005753,Fringilla coelebs,Chaffinch,15/06/2005,Medium,Female,19.7,n/a,whole body,n/a,3.07E+02,7.90E+00,n/a,5.46E+01,3.18E+00,2.45E-03,3.50E-04,n/a,1.64E-03,2.47E-04,1.56E+04,2.77E+03,1.24E-01,n/a,8.33E-02,8.41E-01,6.40E-02,2.09E-01,n/a,3.60E-01
G007232,Parus major,Great tit,15/06/2005,Medium,Male,11.9,n/a,without feather and gut,n/a,3.10E+01,8.85E-01,n/a,4.20E+01,2.44E+00,2.33E-04,8.23E-05,n/a,7.43E-05,1.75E-05,2.60E+03,3.52E+03,1.95E-02,n/a,6.23E-03,1.40E-01,8.14E-02,3.28E-02,n/a,2.69E-02
G007241,Parus major,Great tit,15/06/2005,Medium,Male,12.1,n/a,without feather and gut,n/a,3.59E+01,9.81E-01,n/a,5.96E+01,3.10E+00,6.15E-04,1.16E-04,n/a,3.00E-04,4.80E-05,2.98E+03,4.94E+03,5.10E-02,n/a,2.49E-02,1.61E-01,1.14E-01,8.58E-02,n/a,1.08E-01
G007242,Sylvia atricapilla,European blackcap,15/06/2005,Medium,Male,11.5,n/a,without feather and gut,n/a,2.39E+01,7.83E-01,n/a,1.68E+01,1.15E+00,2.80E-04,5.49E-05,n/a,1.92E-04,2.47E-05,2.08E+03,1.47E+03,2.44E-02,n/a,1.67E-02,1.12E-01,3.39E-02,4.10E-02,n/a,7.23E-02
G005772,Sylvia atricapilla,European blackcap,15/06/2005,Medium,Male,16.5,n/a,whole body,n/a,2.04E+02,6.70E+00,n/a,2.85E+01,2.33E+00,1.88E-03,1.75E-04,n/a,8.27E-04,8.23E-05,1.24E+04,1.73E+03,1.14E-01,n/a,5.01E-02,6.67E-01,3.99E-02,1.92E-01,n/a,2.17E-01
G007236,Turdus merula,Common blackbird,15/06/2005,Medium,Male,59.2,n/a,without feather and gut,n/a,1.76E+02,2.14E+00,n/a,2.06E+02,1.07E+01,2.01E-03,2.67E-04,n/a,9.01E-04,1.41E-04,2.98E+03,3.48E+03,3.40E-02,n/a,1.52E-02,1.61E-01,8.04E-02,5.71E-02,n/a,6.57E-02
